day,temperature
0,-1.1229829444437645
1,-1.0052002521991368
2,-1.16545893681718
3,-1.249164278368069
4,-1.8359699975491326
5,-1.0166465042077326
6,-1.993045930809687
7,-1.8139670062459408
8,-0.3405127288053565
9,-0.7491842588528199
10,-0.11079597994502981
11,-1.281141318409022
12,-1.1321939004976298
13,-0.8064861027689926
14,-1.5130888437141228
15,-0.7402932918483214
16,0.06740016586082619
17,-0.9053293426754129
18,-2.470364402384622
19,-1.2890749360298013
20,-0.9107045947172914
21,-0.7577548389267696
22,-0.8475503617422668
23,-1.1044534333789706
24,-1.6375506453581918
25,-0.4815456324457474
26,-0.34576773373915265
27,-0.41134147154415285
28,-0.36594924542169016
29,-1.5737810934104244
30,-1.1276641602895183
31,-0.12379476159220969
32,-0.4109837739603684
33,-0.8786497988594718
34,-0.6300893968534066
35,-0.39265084160425123
36,0.1898777637690414
37,-0.5866206257426544
38,-0.5020831896712089
39,-0.569869864496161
40,0.3926881086548782
41,-0.09293253288362227
42,0.2046274051019401
43,0.7098765726004123
44,-0.2832998353453369
45,0.41237512555540096
46,0.27901794538216335
47,0.4976445464607601
48,-0.38718594966194536
49,-0.7193222880109502
50,-0.8707901190327424
51,-0.142765578422034
52,-0.5619689706978276
53,1.0376399559200213
54,-0.056899868284908034
55,-0.0774857890678856
56,0.23855834566467393
57,0.041452500617551694
58,-0.43106797645241723
59,-0.5542900008606699
60,0.37789279942692183
61,0.5987962148369904
62,0.5667674349621974
63,-0.5598083315310368
64,0.26153546068793204
65,1.3351807640903341
66,0.7894848229764132
67,0.4742712595072653
68,1.470131847400789
69,1.20366449513525
70,0.3383307106663023
71,0.7414280578222334
72,1.3294690834745677
73,0.06371847824672998
74,0.7876986267397915
75,1.006444548125171
76,1.4053171865593397
77,0.7716917382509445
78,0.17054807694699123
79,1.0681861123070389
80,-0.10950265618193665
81,0.8896050187590769
82,-0.3753641794327594
83,1.1223276930989128
84,0.6215473966830523
85,0.5773110726140789
86,2.1628929485923862
87,0.8702465742976692
88,1.352816268843795
89,1.494920385643598
90,1.3237980946152132
91,1.267640736506004
92,1.0803383673006235
93,1.3884726797975808
94,1.565047581555086
95,0.1034858335156478
96,0.7655186626855373
97,1.8695838255063535
98,1.4954493194125171
99,2.6396718830137784
