day,temperature
0,15.947839052666614
1,16.386051129963676
2,15.789806556563118
3,15.478379716992398
4,13.295161212884391
5,16.343465196713527
6,12.710758108355918
7,13.377023635469323
8,18.85902992531052
9,17.33856204754866
10,19.71369415304728
11,15.359408713060397
12,15.913569567826915
13,17.125369773056367
14,14.496444851810256
15,17.371641008862678
16,20.376675290018834
17,16.757622180768333
18,10.934888369135798
19,15.329891582896131
20,16.73762348385984
21,17.306675090082567
22,16.972589649895582
23,16.016778345700754
24,14.033383058917082
25,18.334315126440647
26,18.839478609371312
27,18.59551064334808
28,18.764393026007063
29,14.270638527397077
30,15.930422526681767
31,19.665332012571575
32,18.596841461978958
33,16.856883779345477
34,17.781656069918064
35,18.66504938130581
36,20.832354826450565
37,17.94338221255395
38,18.257904870885575
39,18.005703643166925
40,21.586913419364794
41,19.7801553460739
42,20.88723106373721
43,22.76701732963669
44,19.071891258444413
45,21.660159228297758
46,21.1640020609542
47,21.977405245966022
48,18.68538158465932
49,17.449663908317994
50,16.886125822960913
51,19.594750835553192
52,18.035099023913357
53,23.986465368471535
54,19.914215355260616
55,19.837625162444805
56,21.013471580618557
57,20.280136655431946
58,18.522117918755683
59,18.06366873360257
60,21.53186727406554
61,22.353741377162187
62,22.234577874488362
63,18.043137710748624
64,21.098958243495336
65,25.09346991340208
66,23.06320088685066
67,21.890444620139284
68,25.595557218624638
69,24.604161880796852
70,21.384675995214526
71,22.88440505118873
72,25.07221952949768
73,20.362977522150015
74,23.056555319930823
75,23.87040243773534
76,25.354413408567677
77,22.99700147783328
78,20.760438468840064
79,24.100112750686186
80,19.71850598135619
81,23.43569941050629
82,18.729364638457252
83,24.301547224077886
84,22.43838745264006
85,22.273805618986696
86,28.17298413456964
87,23.363676059715033
88,25.159083044032055
89,25.68778330574768
90,25.05112053981569
91,24.842186340031564
92,24.145325377457546
93,25.29174319651493
94,25.948692473382984
95,20.51093249778267
96,22.974034467865376
97,27.081723630430734
98,25.689751210889032
99,29.9468465186145
