day,temperature
0,11.556023240006008
1,7.451764097722061
2,9.652864703902779
3,15.627763858799485
4,16.279871102180483
5,14.339832827507236
6,18.156410955063613
7,16.461350201589774
8,9.126934988018325
9,15.071561717632154
10,16.435029102469525
11,16.297047044284636
12,23.15412814904107
13,15.239334179244981
14,16.71621777748402
15,17.650339859093542
16,5.24971320484574
17,18.154558512036857
18,13.276912017983971
19,23.59057124589942
20,18.12792302110185
21,16.96387523070165
22,10.503788122632821
23,20.53122597703117
24,10.219897362754228
25,17.837734740264267
26,10.646555579379747
27,14.235067632159177
28,19.422980250834108
29,14.341385456499003
30,17.23130710891317
31,18.97542698710127
32,18.892003651620065
33,18.78560558317633
34,19.011849838375912
35,17.860940173707384
36,20.52551432874214
37,23.07964373436944
38,23.482089087728795
39,15.746625854419639
40,12.574295107421626
41,20.58273692299866
42,24.031907707814522
43,24.45482510681404
44,18.445041985532797
45,22.877077717362578
46,25.091609685520073
47,14.772203486578228
48,17.214786315422707
49,23.87678178742128
50,27.15452486053355
51,25.833630264923627
52,29.3799954672386
53,25.654022829870424
54,12.545924519141046
55,21.180582931710056
56,18.516479261367785
57,20.00010218996176
58,12.760421940453424
59,17.975051260045774
60,27.467439381740846
61,23.889950135960476
62,21.332025226279484
63,12.875862969128034
64,21.700588845854888
65,26.449376660947138
66,23.539569949684203
67,28.47329196119017
68,22.550789415987257
69,19.3605625647702
70,21.77582128627137
71,18.702008902443882
72,15.727420454798366
73,18.12680087294647
74,23.461235532722107
75,18.63305514896856
76,17.384019066997162
77,31.177154364600902
78,21.220458396823457
79,24.383686164052357
80,22.98011440649399
81,26.876502444922494
82,20.22146942146533
83,20.52593113171873
84,24.454602100154933
85,19.93210548581422
86,20.185250095763834
87,26.46148157927091
88,21.66302512811971
89,20.275641009607128
90,23.45411619644763
91,33.1679655223704
92,23.284021574219064
93,25.408383160589164
94,22.02111788422088
95,28.593014915406076
96,28.69242802712764
97,30.693310978858676
98,32.47150120527949
99,20.377125261400693
100,21.733407205278635
101,23.414716480568305
102,28.698102321390827
103,23.639914916758126
104,23.64730532247626
105,28.2799042745511
106,23.676606728009773
107,28.81821763867312
108,27.37168181749763
109,20.006304497592712
110,16.605931544585694
111,23.937150981979403
112,26.037625335478637
113,28.23176664260585
114,27.492831454531437
115,23.003937649465033
116,21.421839055442636
117,27.68872834610162
118,25.067282114201394
119,30.49205872559048
120,35.205975343234726
121,29.65265054910204
122,29.700314343951494
123,29.124356675211757
124,24.54751947238386
125,30.70963624403841
126,32.56807228585912
127,32.55682669030102
128,27.6475398008769
129,25.0539660387052
130,31.100208166567505
131,31.34931884174735
132,26.739573889493325
133,20.72143992139142
134,29.62328244004734
135,38.153555363085786
136,23.860329623114374
137,27.034996984527005
138,29.442776522493578
139,31.248197312654977
140,27.17756343405979
141,29.663921089922585
142,24.559065144934596
143,31.228696437507
144,26.77422121702895
145,33.87641045926097
146,30.963152313008727
147,25.29247968764044
148,29.3831735954654
149,31.680072891256145
